,SKU,Nombre,Precio,Presentación,URL,THC per container,CBD per container
48,1022805,PUFFCO PEAK CONCENTRATE RIG,$329.97,['Clear & Black'],https://www.bccannabisstores.com/products/puffco-peak-concentrate-rig,No posee,No posee
49,1021518,"MY DAB MAT CANADA LEAF 11"" X 8.5"" 1.5MM",$11.99,"['1021518 - MY DAB MAT CANADA LEAF 11"" X 8.5"" 1.5MM']",https://www.bccannabisstores.com/products/my-dab-mat-canada-leaf-11-x-8-5-1-5mm,No posee,No posee
50,1021674,PERSONAL AIR FILTER STARTER SET,$34.99,['1 Each'],https://www.bccannabisstores.com/products/personal-air-filter-starter-set,No posee,No posee
51,1025410,BOVEDA 62% 4 GRAM PACK,$1.99,['1025410 - BOVEDA 62% 4 GRAM PACK'],https://www.bccannabisstores.com/products/boveda-62-4-gram-pack,No posee,No posee
52,1025402,BRASS PIPE SCREENS MEDIUM 20PK,$1.99,['20 Each'],https://www.bccannabisstores.com/products/brass-pipe-screens-medium-20pk,No posee,No posee
53,1027150,RAINBOW ROLL TRAY - MEDIUM,$4.99,['1027150 - RAINBOW ROLL TRAY - MEDIUM'],https://www.bccannabisstores.com/products/rainbow-roll-tray-medium,No posee,No posee
54,1027176,OCB PREMIUM BLACK 1 1/4 ROLLING PAPER,$1.99,['50 x OCB PREMIUM BLACK 1 1/4 ROLLING PAPER'],https://www.bccannabisstores.com/products/ocb-premium-black-1-1-4-rolling-paper,No posee,No posee
55,1027184,OCB ORGANIC HEMP 1 1/4 ROLLING PAPER,$1.99,['50 x OCB ORGANIC HEMP 1 1/4 ROLLING PAPER'],https://www.bccannabisstores.com/products/ocb-organic-hemp-1-1-4-rolling-paper,No posee,No posee
56,1026897,ECO GRINDER,$4.99,['Transparent Green'],https://www.bccannabisstores.com/products/eco-grinder,No posee,No posee
57,1027168,SUPER FINE ROLLING PAPER,$1.99,['100 x SUPER FINE ROLLING PAPER'],https://www.bccannabisstores.com/products/super-fine-rolling-paper,No posee,No posee
58,1022292,PURE EXTRA FINE 1 1/4 ROLLING PAPER,$1.99,['50 x PURE EXTRA FINE 1 1/4 ROLLING PAPER'],https://www.bccannabisstores.com/products/pure-extra-fine-1-1-4-rolling-paper,No posee,No posee
59,1027366,ACRYLIC 2-PIECE GRINDER,$3.99,['Orange'],https://www.bccannabisstores.com/products/acrylic-2-piece-grinder,No posee,No posee
60,1022284,CRYPT M,$49.99,['1022284 - CRYPT M'],https://www.bccannabisstores.com/products/crypt-m,No posee,No posee
61,1027382,REZ BLOCK CONCENTRATE,$17.99,['15 ml'],https://www.bccannabisstores.com/products/rez-block-concentrate,No posee,No posee
62,1027408,APX V2 VAPORIZER,$79.99,['Black'],https://www.bccannabisstores.com/products/apx-v2-vaporizer,No posee,No posee
63,1027390,MEDIUM STORAGE CONTAINER,$24.99,['1027390 - MEDIUM STORAGE CONTAINER'],https://www.bccannabisstores.com/products/medium-storage-container,No posee,No posee
64,1027432,PYRIMID BEAKER,$249.97,['Blue'],https://www.bccannabisstores.com/products/pyrimid-beaker,No posee,No posee
65,1027374,CLEANING GEL,$14.99,['240 ml'],https://www.bccannabisstores.com/products/cleaning-gel,No posee,No posee
66,1027317,4 PIECE GRINDER,$16.99,['Silver'],https://www.bccannabisstores.com/products/4-piece-grinder-2,No posee,No posee
67,1027325,HIT FLOWER KIT,$69.99,['Silver'],https://www.bccannabisstores.com/products/hit-flower-kit,No posee,No posee
68,1027341,MAGNETO VAPORIZER KIT,$44.99,['Black'],https://www.bccannabisstores.com/products/magneto-vaporizer-kit,No posee,No posee
69,1027440,"9"" TALL SAPPHIRE BLUE MINT GRN DOUT RIG",$79.97,['Blue and Mint Green'],https://www.bccannabisstores.com/products/9-tall-sapphire-blue-mint-grn-dout-rig,No posee,No posee
70,1026533,PAX ERA PRO,$89.99,['Black'],https://www.bccannabisstores.com/products/pax-era-pro,No posee,No posee
71,1022458,"9"" TALL PURPLE & TL DONUT RIG W/3 HOLE",$79.97,['Purple and Teal'],https://www.bccannabisstores.com/products/9-tall-purple-teal-donut-rig-w-3-hole,No posee,No posee
72,1026228,STARRY 3.0 VAPORIZER,$119.99,['Black'],https://www.bccannabisstores.com/products/starry-3-0-vaporizer,No posee,No posee
73,1029461,"36"" TALL WATER PIPE",$299.99,['Blue'],https://www.bccannabisstores.com/products/36-tall-water-pipe,No posee,No posee
74,1031376,510 VAPE BATTERY,$9.99,[],https://www.bccannabisstores.com/products/510-vape-battery,No posee,No posee
75,1032150,"5.5"" JADE YELLOW SHERLOCK HAND PIPE",$27.99,['Jade Yellow'],https://www.bccannabisstores.com/products/5-5-jade-yellow-sherlock-hand-pipe,No posee,No posee
76,1032101,"11"" TALL BEAKER WATER PIPE",$49.99,['Clear & Amber'],https://www.bccannabisstores.com/products/11-tall-beaker-water-pipe,No posee,No posee
77,1031079,CRYSTAL BALL BASE BONG,$74.99,[],https://www.bccannabisstores.com/products/crystal-ball-base-bong,No posee,No posee
78,1031103,RETRO MINI BEAKER WITH BANGER,$79.99,[],https://www.bccannabisstores.com/products/retro-mini-beaker-with-banger,No posee,No posee
79,1031459,BENT NECK FLOWER MINI BEAKER WITH BANGER,$39.99,[],https://www.bccannabisstores.com/products/bent-neck-flower-mini-beaker-with-banger,No posee,No posee
80,1031368,DOUBLE PERK MICROSCOPE RIG,$99.99,[],https://www.bccannabisstores.com/products/double-perk-microscope-rig,No posee,No posee
81,1031442,SKINNY BEAKER BONG,$32.99,[],https://www.bccannabisstores.com/products/skinny-beaker-bong,No posee,No posee
82,1031384,CIRC RECYCLER RIG,$39.99,[],https://www.bccannabisstores.com/products/circ-recycler-rig,No posee,No posee
83,1031541,STRAIGHT SHOOTER BONG,$89.99,[],https://www.bccannabisstores.com/products/straight-shooter-bong,No posee,No posee
84,1031723,REVERSAL GLASS PIPE,$22.99,[],https://www.bccannabisstores.com/products/reversal-glass-pipe,No posee,No posee
85,1031764,GLASS PIPE PINK,$12.99,[],https://www.bccannabisstores.com/products/glass-pipe-pink,No posee,No posee
86,1031806,GANDALF STYLED GLASS PIPE,$19.99,[],https://www.bccannabisstores.com/products/gandalf-styled-glass-pipe,No posee,No posee
87,1031798,GLASS PIPE FLAT MOUTHPIECE,$17.99,[],https://www.bccannabisstores.com/products/glass-pipe-flat-mouthpiece,No posee,No posee
88,1031863,BLUE & AMBER RIBBON GLASS PIPE,$22.99,[],https://www.bccannabisstores.com/products/blue-amber-ribbon-glass-pipe,No posee,No posee
89,1031871,SHERLOCK BUBBLER,$19.99,[],https://www.bccannabisstores.com/products/sherlock-bubbler,No posee,No posee
90,1032259,BLACK THIN SHOWERHEAD HAMMER BUBBLER,$24.99,[],https://www.bccannabisstores.com/products/black-thin-showerhead-hammer-bubbler,No posee,No posee
91,1032242,CLEAR THIN SHOWERHEAD HAMMER BUBBLE,$24.99,[],https://www.bccannabisstores.com/products/clear-thin-showerhead-hammer-bubble,No posee,No posee
92,1032267,MINI BEAKER WITH BANGER GREEN,$39.99,[],https://www.bccannabisstores.com/products/mini-beaker-with-banger-green,No posee,No posee
93,1032275,MINI INLINE RIG WITH PERCOLATOR BLUE,$49.99,[],https://www.bccannabisstores.com/products/mini-inline-rig-with-percolator-blue,No posee,No posee
94,1032283,MINI INLINE RIG WITH PERCOLATOR GREEN,$49.99,[],https://www.bccannabisstores.com/products/mini-inline-rig-with-percolator-green,No posee,No posee
95,1033075,EVOLVE PLUS XL,$59.99,[],https://www.bccannabisstores.com/products/evolve-plus-xl,No posee,No posee
0,1027960,HIGH CBD OIL,$39.99,['28.4 g'],https://www.bccannabisstores.com/products/high-cbd-oil-2,0.0-2.0mg/g,28.5-38.5mg/g
1,1014554,"CANACA 19 PRE-ROLL
(BLEND 19)",$13.99,['3 x 0.5 g'],https://www.bccannabisstores.com/products/blend-pre-roll-19,180.0-220.0mg/g,0.0-10.0mg/g
2,1029982,SOUR RASPBERRY 1:1 GUMMIES,$6.99,['4 x 4.4 g Raspberry'],https://www.bccannabisstores.com/products/sour-raspberry-1-1-gummies,2.5mg,2.5mg
3,1018696,"INDICA 0.5 VAPE CARTRIDGE
(BLACKBERRY CREAM)",$24.99,['1 x 0.5 g'],https://www.bccannabisstores.com/products/indica-0-5-cartridge,680.0-920.0mg/g,0.0-5.0mg/g
4,1028737,STRAWBERRY CBD 10:1 SOUR GUMMIES,$6.99,['2 x 4.5 g Strawberry'],https://www.bccannabisstores.com/products/wana-strawberry-cbd-10-1-sour-gummies,1.0mg,10.0mg
5,1013861,OKANAGAN GROWN ULTRA SOUR,$36.99,"['7 g', '3.5 g', '1 g']",https://www.bccannabisstores.com/products/dream,260.0-310.0mg/g,0.0-10.0mg/g
6,1020833,PAX D. BUBBA VAPE CARTRIDGE,$39.99,['1 x 0.5 g sweet'],https://www.bccannabisstores.com/products/d-bubba-vape-cartridge,730.0-930.0mg/g,0.0-10.0mg/g
7,1017573,BAKERSTREET & GINGER,$3.99,['1 x 355 ml Bakerstreet Terpenes & Ginger Ale'],https://www.bccannabisstores.com/products/bakerstreet-ginger,2.0mg,0.0-1.0mg
8,1005511,"HOUNDSTOOTH PRE-ROLL
(C-LAND)",$9.99,"['1 x 1 g', '5 x 0.5 g']",https://www.bccannabisstores.com/products/houndstooth-pre-rolls,200.0-260.0mg/g,0.0-1.0mg/g
9,1026475,D. BUBBA,$119.99,"['28 g', '7 g', '3.5 g']",https://www.bccannabisstores.com/products/d-bubba-1,170.0-230.0mg/g,0.0-10.0mg/g
10,1027713,"HEMPLIXIR 30 CBD OIL
(CANDA
)",$36.99,['30 ml'],https://www.bccannabisstores.com/products/hemplixir-30-cbd-oil,0.85-1.15mg/g,25.5-34.5mg/g
11,1018274,"MOLLO 5
(BLEND)",$4.99,['1 x 355 ml Malt'],https://www.bccannabisstores.com/products/mollo-brew-5,5.0mg,5.0mg
12,1018308,"LITTLE VICTORY SPARKLING BLOOD ORANGE
(BLEND)",$5.99,['1 x 355 ml Blood Orange'],https://www.bccannabisstores.com/products/little-victory-sparkling-blood-orange,2.5mg,2.5mg
13,1034156,KEY LIME PIE GUMMIES,$6.99,['2 x 10 g Key Lime Pie'],https://www.bccannabisstores.com/products/key-lime-pie-gummies,5.0mg,0.5mg
14,1027770,STARWALKER KUSH,$114.99,"['28 g', '3.5 g']",https://www.bccannabisstores.com/products/starwalker-kush,170.0-230.0mg/g,0.0-9.9mg/g
15,1026764,TABS (MINT 10:0),$21.99,['10 capsules'],https://www.bccannabisstores.com/products/tabs-mint-10-0,10.0mg,0.0-1.0mg
16,1030030,CHERRY PUNCH,$34.99,['3.5 g'],https://www.bccannabisstores.com/products/cherry-punch-1,230.0-250.0mg/g,0.0-10.0mg/g
17,1030501,CBD FACIAL REJUVENATING CREAM,$39.97,['1 x 90 ml'],https://www.bccannabisstores.com/products/cbd-facial-rejuvinating-cream,31.0-42.0mg,612.0-828.0mg
18,1036516,"SUMMIT 10 PEACH LEMONADE
(BLEND)",$6.99,"['1 x 355 ml Peach, lemon']",https://www.bccannabisstores.com/products/summit-10-peach-lemonade,8.5-10.0mg,0.0-1.15mg
19,1035401,"CHERRY JAM
(BCP
)",$29.99,['3.5 g'],https://www.bccannabisstores.com/products/cherry-jam,210.0-250.0mg/g,0.0-10.0mg/g
20,1033349,OUTLAW LIVE ROSIN,$21.99,['1 x 0.5 g'],https://www.bccannabisstores.com/products/outlaw-live-rosin,650.0-750.0mg/g,0.0-50.0mg/g
21,1037043,SLURRICANE,$109.99,['28 g'],https://www.bccannabisstores.com/products/slurricane-1,210.0-270.0mg/g,0.0-10.0mg/g
22,1018316,"LITTLE VICTORY SPARKLING DARK CHERRY
(BLEND)",$5.99,['1 x 355 ml Dark Cherry'],https://www.bccannabisstores.com/products/little-victory-sparkling-dark-cherry,2.5mg,2.5mg
23,1031475,CBD GOJI GRAPEFRUIT KOMBUCHA STANDRD,$7.99,['1 x 330 ml Goji & Grapefruit'],https://www.bccannabisstores.com/products/cbd-goji-grapefruit-kombucha-standrd-can,2.0mg,20.0mg
24,1035799,MOLLO 5 LIME,$4.99,['1 x 355 ml Lime'],https://www.bccannabisstores.com/products/mollo-5-lime,5.0mg,5.0mg
25,1036524,"GG 4 PRE-ROLL
(GORILLA GLUE 
)",$42.99,['12 x 0.5 g'],https://www.bccannabisstores.com/products/gg-4-pre-roll-2,190.0-220.0mg/g,0.0-2.0mg/g
26,1038793,HAUS MATES DRINK,$5.99,['1 x 355 ml'],https://www.bccannabisstores.com/products/haus-mates-drink,7.5mg,2.5mg
27,1039239,BLUE MAJIK 1:1 LEMONADE KOMBUCHA,$7.99,['1 x 330 ml Lemonade Kombucha'],https://www.bccannabisstores.com/products/blue-majik-1-1-lemonade-kombucha,5.0mg,5.0mg
28,1038801,INDIE PALS DRINK,$6.99,['1 x 355 ml'],https://www.bccannabisstores.com/products/indie-pals-drink,10.0mg,2.0mg
29,1039403,"GROWER'S STASH #003 PRE-ROLLS
(VANILLA MINTS)",$16.99,['3 x 0.5 g'],https://www.bccannabisstores.com/products/growers-stash-003-pre-rolls,250.0-300.0mg/g,0.0-100.0mg/g
30,1040179,LIMON SPLASHDOWN,$6.99,"['1 x 222 ml Lemon, Lime']",https://www.bccannabisstores.com/products/limon-splashdown,10.0mg,0.0mg
31,1039601,DIAMOND BREATH,$39.99,['3.5 g'],https://www.bccannabisstores.com/products/diamond-breath,250.0-300.0mg/g,0.0-10.0mg/g
32,1039890,BLOOD ORANGE 20:1 CBD HYBRID SOUR GUMMIE,$19.99,['10 x 4.5 g Blood Orange'],https://www.bccannabisstores.com/products/blood-orange-20-1-hybrid-sour-gummies,1.0mg,20.0mg
33,1038777,ORANGEADE,$29.99,"['3.5 g', '7 g']",https://www.bccannabisstores.com/products/orangeade,180.0-240.0mg/g,0.0-10.0mg/g
34,1039460,"SUBWAY SCIENTIST FULL SPECTRUM CARTRIDGE
(GRAND DADDY PURPS
)",$34.99,"['1 x 0.5 g Grape, berry, sweet']",https://www.bccannabisstores.com/products/subway-scientist-full-spectrum-cartridge,720.0-850.0mg/g,0.0-9.99mg/g
35,1039429,INDICA CAPSULES,$14.99,['15 capsules'],https://www.bccannabisstores.com/products/indica-capsules,7.0-9.0mg,0.0-1.0mg
36,1039809,"91K
(91 KRYPT
)",$31.99,['3.5 g'],https://www.bccannabisstores.com/products/91k,200.0-260.0mg/g,0.0-1.0mg/g
37,1037217,MOONLIGHT LEMONGRASS CBD TEA,$6.99,"['1 x 4.5 g Lemongrass, peppermint, florals']",https://www.bccannabisstores.com/products/moonlight-lemongrass-cbd-tea,0.0-0.4mg,20.0mg
38,1037001,SASSAFRAS VAPE CARTRIDGE,$39.99,['1 x 1 g'],https://www.bccannabisstores.com/products/sassafras-vape-cartridge,800.0-840.0mg/g,2.0-10.0mg/g
39,1036474,"RAPID TROPICAL RUSH
(BLEND)",$5.99,"['1 x 250 ml Lemon, lime, mango']",https://www.bccannabisstores.com/products/rapid-tropical-rush,8.5-10.0mg,8.5-11.0mg
40,1038033,RELIEF BALM WHOLE PLANT CBD:THC 1:3,$39.99,['1 x 50 g'],https://www.bccannabisstores.com/products/relief-balm-whole-plant-cbd-thc-1-3,240.0-360.0mg/g,75.0-130.0mg/g
41,1037738,LIVE INDICA CARTRIDGE,$39.99,['1 x 1 g'],https://www.bccannabisstores.com/products/live-indica-cartridge,760.0-880.0mg/g,1.0-5.0mg/g
42,1038058,MK ULTRA SHATTER,$34.99,['1 x 1 g'],https://www.bccannabisstores.com/products/mk-ultra-shatter,640.0-740.0mg/g,0.0-60.0mg/g
43,1038454,WATERMELON GUSHERS PRE-ROLL,$4.99,['1 x 0.5 g'],https://www.bccannabisstores.com/products/watermelon-gushers-pre-roll,240.0-290.0mg/g,0.0-2.0mg/g
44,1038470,BAKERS DOZEN,$29.99,['3.5 g'],https://www.bccannabisstores.com/products/bakers-dozen,200.0-260.0mg/g,0.0-2.0mg/g
45,1039700,GAS TANK,$39.99,['3.5 g'],https://www.bccannabisstores.com/products/gas-tank,250.0-300.0mg/g,0.0-10.0mg/g
46,1039213,HYCYCLE ACE: PASSION #1 CART,$41.99,['1 x 1 g'],https://www.bccannabisstores.com/products/hycycle-ace-passion-1-cart,810.0-890.0mg/g,0.0-10.0mg/g
47,1039569,"LIVE RESIN TERP SAUCE
(KISH
)",$26.99,['1 x 0.5 g'],https://www.bccannabisstores.com/products/live-resin-terp-sauce,442.5-522.5mg/g,0.0-100.0mg/g
48,1035617,SECRET FORMULA,$34.99,['3.5 g'],https://www.bccannabisstores.com/products/secret-formula,220.0-280.0mg/g,0.0-20.0mg/g
49,1034263,MANDARIN CKS FLOWER ROSIN,$34.99,"['1 x 0.5 g citrusy, orange']",https://www.bccannabisstores.com/products/mandarin-cks-flower-rosin,650.0-750.0mg/g,0.0-50.0mg/g
50,1038959,FUNFETTI,$29.99,"['15 g', '3.5 g']",https://www.bccannabisstores.com/products/funfetti,210.0-250.0mg/g,0.0-10.0mg/g
51,1036433,WHITE RHINO FULL SPECTRUM CARTRIDGE,$27.99,['1 x 0.5 g'],https://www.bccannabisstores.com/products/white-rhino-full-spectrum-cartridge,740.0-840.0mg/g,0.0-30.0mg/g
52,1038207,GARLIC JELLY,$29.99,['3.5 g'],https://www.bccannabisstores.com/products/garlic-jelly-1,200.0-250.0mg/g,0.0-10.0mg/g
53,1037290,SOMETHING ABOUT LARRY,$21.99,"['3.5 g', '7 g']",https://www.bccannabisstores.com/products/something-about-larry,200.0-260.0mg/g,0.0-10.0mg/g
54,1038710,GRAND DADDY PURPLE PAX POD,$34.99,['1 x 0.5 g'],https://www.bccannabisstores.com/products/grand-daddy-purple-pax-pod,800.0-860.0mg/g,0.0-20.0mg/g
55,1038926,BC HIGHBRID,$39.99,"['7 g', '3.5 g']",https://www.bccannabisstores.com/products/bc-highbrid,200.0-260.0mg/g,0.0-10.0mg/g
56,1039395,PINE TAR KUSH,$21.99,['3.5 g'],https://www.bccannabisstores.com/products/pine-tar-kush,180.0-240.0mg/g,0.0-10.0mg/g
57,1037993,FULL MELT INDICA CARTRIDGE,$34.99,"['1 x 0.5 g Berry, Sweet, Herbal, Fruity, Sour']",https://www.bccannabisstores.com/products/full-melt-indica-cartridge,750.0-850.0mg/g,0.0-20.0mg/g
58,1038462,PINK WEDDING CAKE COOKIES,$21.99,"['3.5 g', '28 g']",https://www.bccannabisstores.com/products/pink-wedding-cake-cookies,190.0-270.0mg/g,0.0-10.0mg/g
59,1038595,"SMOKER FARMS KETTLE RIVER KUSH
(BUBBA KUSH
)",$24.99,['3.5 g'],https://www.bccannabisstores.com/products/smoker-farms-kettle-river-kush,200.0-250.0mg/g,0.0-10.0mg/g
60,1039130,MONSTER MASH,$26.99,['3.5 g'],https://www.bccannabisstores.com/products/monster-mash,190.0-230.0mg/g,1.0-9.0mg/g
61,1039254,PINK KUSH SHATTER,$36.99,"['1 x 1 g Pine, Citrus']",https://www.bccannabisstores.com/products/pink-kush-shatter-1,700.0-850.0mg/g,1.0-10.0mg/g
